"Generated for entities with frontend view page and widgets","Generated for entities with frontend view page and widgets"
"Generated for every entity","Generated for every entity"
"Generated for every tree behaving entities","Generated for every tree behaving entities"
"Generated for flat entities that behave as tree.","Generated for flat entities that behave as tree."
"Generated for flat entities that don't behave as tree.","Generated for flat entities that don't behave as tree."
"Generated for tree behaving entities that have a fronted list page.","Generated for tree behaving entities that have a fronted list page."
"Generated for tree entities related many to many with categories.","Generated for tree entities related many to many with categories."
"Generated for tree entities related many to many with products.","Generated for tree entities related many to many with products."
"Generated for tree entities with frontend view page and widgets","Generated for tree entities with frontend view page and widgets"
"Generated if an entity has at least one image field/attribute.","Generated if an entity has at least one image field/attribute."
"Generated if are entities related or at least one entity is in a ""many to many"" relation with the products or categories.","Generated if are entities related or at least one entity is in a ""many to many"" relation with the products or categories."
"Generated if at least an EAV entity","Generated if at least an EAV entity"
"Generated if at least an entity allows comments","Generated if at least an entity allows comments"
"Generated if at least an entity has RSS enabled.","Generated if at least an entity has RSS enabled."
"Generated if at least an entity has a country field/attribute","Generated if at least an entity has a country field/attribute"
"Generated if at least one entity has API enabled","Generated if at least one entity has API enabled"
"Generated if at least one entity has frontend enabled","Generated if at least one entity has frontend enabled"
"Generated if at least one entity has url rewrites enabled.","Generated if at least one entity has url rewrites enabled."
"Generated if at least one entity has widgets enabled","Generated if at least one entity has widgets enabled"
"Generated if at least one entity is related to product or categories.","Generated if at least one entity is related to product or categories."
"Generated if at least one entity is set to have the link in the category menu","Generated if at least one entity is set to have the link in the category menu"
"Generated if at least one entity support API","Generated if at least one entity support API"
"Generated if the entity is set to be a product or category attribute","Generated if the entity is set to be a product or category attribute"
"Generated if there is at least a flat entity.","Generated if there is at least a flat entity."
"Generated if there is at least an entity that behaves as tree and has frontend list enabled","Generated if there is at least an entity that behaves as tree and has frontend list enabled"
"Generated if there is at least one EAV entity ","Generated if there is at least one EAV entity "
"Generated if there is at least one EAV entity.","Generated if there is at least one EAV entity."
"Generated if there is at least one entity that behaves as tree and has frontend files.","Generated if there is at least one entity that behaves as tree and has frontend files."
"Generated if there is at least one entity that should have the REST API","Generated if there is at least one entity that should have the REST API"
"Generated if there is at least one entity with type EAV","Generated if there is at least one entity with type EAV"
"Generated if there is at least one parent-child relation between entities.","Generated if there is at least one parent-child relation between entities."
"Generated if there is at least one tree entity that has an attribute that uses WYSIWYG editor","Generated if there is at least one tree entity that has an attribute that uses WYSIWYG editor"
"Generated if there the entity should have the REST API","Generated if there the entity should have the REST API"
Global,Global
"Grid block for viewing comments.","Grid block for viewing comments."
"Grid block used for managing EAV attribute","Grid block used for managing EAV attribute"
"Has default","Has default"
Help,Help
"Helper block for tree attributes with editors","Helper block for tree attributes with editors"
"Helper for WYSIWYG attributes.","Helper for WYSIWYG attributes."
"Helper for each entity","Helper for each entity"
"Helper used for category relation actions","Helper used for category relation actions"
"Helper used for image processing.","Helper used for image processing."
"Helper used for product relation actions","Helper used for product relation actions"
"If at least one entity has frontend files then a section in System->Configuration will be created. Fill in the tab name here. Leave empty to use the namespace.","If at least one entity has frontend files then a section in System->Configuration will be created. Fill in the tab name here. Leave empty to use the namespace."
"If at least one entity has frontend files then a section in System->Configuration will be created. Fill in the tab position. The higher the number the lower it will appear in the list.","If at least one entity has frontend files then a section in System->Configuration will be created. Fill in the tab position. The higher the number the lower it will appear in the list."
"If is set to 'No' your entity view page will be accessed in the default way http://mysite.com/module/controller/action/id/7<br /><span class=""label label-warning"">warning</span>This field is available only if 'Create entity view page' is set to 'Yes'.","If is set to 'No' your entity view page will be accessed in the default way http://mysite.com/module/controller/action/id/7<br /><span class=""label label-warning"">warning</span>This field is available only if 'Create entity view page' is set to 'Yes'."
"If this is set to 'Yes' it will allow you to assign your entity to specific store views (just like pages or static block).","If this is set to 'Yes' it will allow you to assign your entity to specific store views (just like pages or static block)."
"If this is set to 'Yes' the users of your website will be able to comment on your custom entities. Comments will be moderated.<br /><span class=""label label-warning"">warning:</span>This option is available only if ""Create frontend view"" is set to 'Yes'.","If this is set to 'Yes' the users of your website will be able to comment on your custom entities. Comments will be moderated.<br /><span class=""label label-warning"">warning:</span>This option is available only if ""Create frontend view"" is set to 'Yes'."
"If this is set to 'Yes' then the frontend files of your entity will be created.<br />If this is set to 'No', all the other fields in this section will not be available.","If this is set to 'Yes' then the frontend files of your entity will be created.<br />If this is set to 'No', all the other fields in this section will not be available."
"If this is set to 'Yes' then your entity will behave as the default Magento categories. It will have the same UI as the categories module have. The fields 'parent_id', 'position' 'children_count' & 'level' will be added automatically to the entity.","If this is set to 'Yes' then your entity will behave as the default Magento categories. It will have the same UI as the categories module have. The fields 'parent_id', 'position' 'children_count' & 'level' will be added automatically to the entity."
"If this is set to 'Yes', 2 new widgets will be added to the list of widgets that can be used in CMS pages and CMS blocks.<br />One widget will allow you to add a link to your entity instance and one will allow you to add a few details about your entity in CMS page or block.","If this is set to 'Yes', 2 new widgets will be added to the list of widgets that can be used in CMS pages and CMS blocks.<br />One widget will allow you to add a link to your entity instance and one will allow you to add a few details about your entity in CMS page or block."
"If this is set to 'Yes', 3 extra fields/attributes will be added to your entity, 'meta_title', 'meta_keywords' and 'meta_description'. The values of these fields/attributes will be added used for the details page of your entity.","If this is set to 'Yes', 3 extra fields/attributes will be added to your entity, 'meta_title', 'meta_keywords' and 'meta_description'. The values of these fields/attributes will be added used for the details page of your entity."
"If this is set to 'Yes', a RSS feed with your entities will be added to the list or Magento RSS feeds.<br />Also a new fields called 'in_rss' will be added to your entity. This will allow you to filter the entities listed in the RSS feed.<br />You can disable the RSS feature later from the configuration section of your module.","If this is set to 'Yes', a RSS feed with your entities will be added to the list or Magento RSS feeds.<br />Also a new fields called 'in_rss' will be added to your entity. This will allow you to filter the entities listed in the RSS feed.<br />You can disable the RSS feature later from the configuration section of your module."
"If this is set to 'Yes', a link will be added to the footer to a page where your entity instances will be listed. The page has a toolbar for pagination, and it will list the titles of the entity instances.","If this is set to 'Yes', a link will be added to the footer to a page where your entity instances will be listed. The page has a toolbar for pagination, and it will list the titles of the entity instances."
"If this is set to 'Yes', a new section with the list of your categories related to one entity will be added to the entity view page.","If this is set to 'Yes', a new section with the list of your categories related to one entity will be added to the entity view page."
"If this is set to 'Yes', a new section with the list of your entities related to a specific category will be added to the category view page.","If this is set to 'Yes', a new section with the list of your entities related to a specific category will be added to the category view page."
"If this is set to 'Yes', a new section with the list of your entities related to a specific product will be added to the product view page.","If this is set to 'Yes', a new section with the list of your entities related to a specific product will be added to the product view page."
"If this is set to 'Yes', a new section with the list of your products related to one entity will be added to the entity view page.","If this is set to 'Yes', a new section with the list of your products related to one entity will be added to the entity view page."
"If this is set to 'Yes', a new tab will be added to the category add/edit form, with a list of your entities. Something similar to the 'Products' tab.<br />Also on your entity add/edit page a similar tab listing all the categories will be added.","If this is set to 'Yes', a new tab will be added to the category add/edit form, with a list of your entities. Something similar to the 'Products' tab.<br />Also on your entity add/edit page a similar tab listing all the categories will be added."
"If this is set to 'Yes', a new tab will be added to the product add/edit form, with a list of your entities. Something similar to the 'Related products' tab.<br />Also on your entity add/edit page a similar tab listing all the products will be added.","If this is set to 'Yes', a new tab will be added to the product add/edit form, with a list of your entities. Something similar to the 'Related products' tab.<br />Also on your entity add/edit page a similar tab listing all the products will be added."
"If this is set to 'Yes', the files needed for the page details of your entity are created.","If this is set to 'Yes', the files needed for the page details of your entity are created."
"If you choose to enter the values for the dropdown or multiselect manually, input them here. Separate the options with | (pipe). If you want an empty option at the begining start with a | (pipe) symbol.","If you choose to enter the values for the dropdown or multiselect manually, input them here. Separate the options with | (pipe). If you want an empty option at the begining start with a | (pipe) symbol."
"If you choose to use teh values of an attribute as values for the dropdown field enter here the attribute code to use. If the product (or category or customer) attribute does not have values or does not support values you will not see any options.","If you choose to use teh values of an attribute as values for the dropdown field enter here the attribute code to use. If the product (or category or customer) attribute does not have values or does not support values you will not see any options."
"If you set this to 'Yes', a new field will be added to your entity called 'url_key'.<br />This will allow you to use SEF url's for your entity view pages. Example: http://mysite.com/some-key-here.html","If you set this to 'Yes', a new field will be added to your entity called 'url_key'.<br />This will allow you to use SEF url's for your entity view pages. Example: http://mysite.com/some-key-here.html"
Image,Image
"Image 1 for tree (gif)","Image 1 for tree (gif)"
"Image 1 for tree (png)","Image 1 for tree (png)"
"Image 2 for tree (gif)","Image 2 for tree (gif)"
"Image 2 for tree (png)","Image 2 for tree (png)"
"Image field/attribute display on frontend","Image field/attribute display on frontend"
"Image for collapsed tree","Image for collapsed tree"
"Image for expanded tree","Image for expanded tree"
"Image for tree","Image for tree"
"Image placeholder","Image placeholder"
"Image save backend model","Image save backend model"
"Images for the tree entities were not generated for Magento 1.8+","Images for the tree entities were not generated for Magento 1.8+"
"Improved speed of the module creator","Improved speed of the module creator"
"Improved te created modules grid.","Improved te created modules grid."
Improvement,Improvement
"In previous version 'ModuleName' was not working on UNIX servers. Only 'Modulename'. This is fixed in this version.","In previous version 'ModuleName' was not working on UNIX servers. Only 'Modulename'. This is fixed in this version."
"In the UMC UI, when submitting a form that has errors all the fieldsets that contain fields with errors will be automatically opened to get a better wiew on the error.","In the UMC UI, when submitting a form that has errors all the fieldsets that contain fields with errors will be automatically opened to get a better wiew on the error."
"Include in admin global search","Include in admin global search"
"Include in category menu","Include in category menu"
"Include in footer links","Include in footer links"
Inconsistency,Inconsistency
"Inconsistent registry naming","Inconsistent registry naming"
"Insert here","Insert here"
"Install new extension on the current instance.","Install new extension on the current instance."
"Install script","Install script"
"Is always generated","Is always generated"
"Is child of","Is child of"
"Is created for entities that have widgets enabled","Is created for entities that have widgets enabled"
"Is generated for EAV entities","Is generated for EAV entities"
"Is generated for EAV entities that have url rewrites enabled","Is generated for EAV entities that have url rewrites enabled"
"Is generated for each many to many relation","Is generated for each many to many relation"
"Is generated for entities that have widgets enabled","Is generated for entities that have widgets enabled"
"Is generated for entities that have widgets enabled and behave as tree","Is generated for entities that have widgets enabled and behave as tree"
"Is generated if and entity allows comments.","Is generated if and entity allows comments."
"Is generated if and entity has frontend pages.","Is generated if and entity has frontend pages."
"Is generated if the entity does not behave as tree","Is generated if the entity does not behave as tree"
"Is generated if there is at least an image attribute for an entity.","Is generated if there is at least an image attribute for an entity."
"Is generated if there is at least an image attribute.","Is generated if there is at least an image attribute."
"Is generated if there is at least one entity related to categories","Is generated if there is at least one entity related to categories"
"Is generated if there is at least one entity related to products","Is generated if there is at least one entity related to products"
"Is generated if you choose to create the API","Is generated if you choose to create the API"
"Is generated if you choose to link an entity with categories","Is generated if you choose to link an entity with categories"
"Is generated if you choose to link an entity with products","Is generated if you choose to link an entity with products"
"Is parent for","Is parent for"
"Is sibling with","Is sibling with"
"It is generated for EAV entities","It is generated for EAV entities"
"It is generated for entities are linked with products and are set to appear in the product list.","It is generated for entities are linked with products and are set to appear in the product list."
"It is generated for entities that are siblings with your current entity","It is generated for entities that are siblings with your current entity"
"It is generated for entities that can be set to stores.","It is generated for entities that can be set to stores."
"It is generated for entities that have RSS enabled","It is generated for entities that have RSS enabled"
"It is generated for entities that have a frontend view enabled","It is generated for entities that have a frontend view enabled"
"It is generated for entities that have at least a file field","It is generated for entities that have at least a file field"
"It is generated for entities that have at least an image field","It is generated for entities that have at least an image field"
"It is generated for entities that have frontend list enabled","It is generated for entities that have frontend list enabled"
"It is generated for entities that have frontend view enabled and meta attributes enabled","It is generated for entities that have frontend view enabled and meta attributes enabled"
"It is generated for entities that have link to categories enabled","It is generated for entities that have link to categories enabled"
"It is generated for entities that have link to products enabled","It is generated for entities that have link to products enabled"
"It is generated for entities that have widgets enabled","It is generated for entities that have widgets enabled"
"It is generated for flat entities","It is generated for flat entities"
"Javascript file used to render a tree entity on frontend","Javascript file used to render a tree entity on frontend"
"Javascript for tree display","Javascript for tree display"
"Js file used for tree display.","Js file used for tree display."
Label,Label
"Label plural","Label plural"
"Label singular","Label singular"
"Layout XML file used for frontend","Layout XML file used for frontend"
"Layout file for the admin section of the module","Layout file for the admin section of the module"
"Layout file not generated correctly for links with category","Layout file not generated correctly for links with category"
License,License
"Link ""many to many"" with category","Link ""many to many"" with category"
"Link ""many to many"" with products","Link ""many to many"" with products"
"Link to related entities in grids and add/edit forms","Link to related entities in grids and add/edit forms"
"Links to entities related to categories had a wrong format in the category view page.","Links to entities related to categories had a wrong format in the category view page."
"List page template","List page template"
"List page url rewrite","List page url rewrite"
"MOdel used for EAV attributes","MOdel used for EAV attributes"
"Made extension ""extensible""","Made extension ""extensible"""
"Magento offers a REST API for managing products, categories and other entities.<br />If this is set to 'Yes', then your entity will also be available for managing through the REST API.<br />It generates the classes and xml files needed.","Magento offers a REST API for managing products, categories and other entities.<br />If this is set to 'Yes', then your entity will also be available for managing through the REST API.<br />It generates the classes and xml files needed."
"Magento offers a SOAP API for managing products, categories, orders and other entities.<br />If this is set to 'Yes', then your entity will also be available for managing through the SOAP API.<br />It generates the classes and xml files needed for API V1, API V2 and API V2 with WSI compliance.","Magento offers a SOAP API for managing products, categories, orders and other entities.<br />If this is set to 'Yes', then your entity will also be available for managing through the SOAP API.<br />It generates the classes and xml files needed for API V1, API V2 and API V2 with WSI compliance."
"Main block for editing comments.","Main block for editing comments."
"Main block for viewing comments.","Main block for viewing comments."
"Main tab block used for managing EAV attribute","Main tab block used for managing EAV attribute"
"Main tab for editing comments.","Main tab for editing comments."
"Make entity a category attribute","Make entity a category attribute"
"Make entity a product attribute","Make entity a product attribute"
"Manage attributes block.","Manage attributes block."
"Manage attributes edit block.","Manage attributes edit block."
"Manage attributes form block.","Manage attributes form block."
"Manage attributes form main tab block.","Manage attributes form main tab block."
"Manage attributes form options tab block.","Manage attributes form options tab block."
"Manage attributes form tabs block.","Manage attributes form tabs block."
"Manage modules","Manage modules"
"Manually defined","Manually defined"
"Many to many relation with categories - missing controller","Many to many relation with categories - missing controller"
"Many to many relation with categories don't always work.","Many to many relation with categories don't always work."
"Many to many relations between tree entities","Many to many relations between tree entities"
"Missing translation for some system.xml labels","Missing translation for some system.xml labels"
"Model for many to many relations between entities","Model for many to many relations between entities"
"Model for relations between entities and categories","Model for relations between entities and categories"
"Model for relations between entities and products","Model for relations between entities and products"
"Model to handle entity comments","Model to handle entity comments"
"Model used as a a source containing all entities","Model used as a a source containing all entities"
"Model used by admin global search","Model used by admin global search"
"Model used for eav attributes.","Model used for eav attributes."
"Model used for saving entity files","Model used for saving entity files"
"Model used for saving entity images","Model used for saving entity images"
"Model used for saving entity url key","Model used for saving entity url key"
"Model used to handle the SOAP API V2 calls for entity attributes","Model used to handle the SOAP API V2 calls for entity attributes"
"Model used to handle the SOAP API calls for entity attributes","Model used to handle the SOAP API calls for entity attributes"
"Model used to handle the SOAP API calls for entity comments","Model used to handle the SOAP API calls for entity comments"
Module,Module
"Module RSS block.","Module RSS block."
"Module adminhtml.xml file","Module adminhtml.xml file"
"Module base admin controller.","Module base admin controller."
"Module configuration file","Module configuration file"
"Module creator","Module creator"
"Module creator generate sql uninstall script","Module creator generate sql uninstall script"
"Module data install script.","Module data install script."
"Module declaration xml","Module declaration xml"
"Module default helper.","Module default helper."
"Module information","Module information"
"Module menu and ACL settings.","Module menu and ACL settings."
"Module menu can be placed anywhere","Module menu can be placed anywhere"
"Module name","Module name"
"Module setup resource model","Module setup resource model"
Multiselect,Multiselect
"Multiselect attribute values were not displayed correctly on frontend","Multiselect attribute values were not displayed correctly on frontend"
"Name settings","Name settings"
Namespace,Namespace
"Naming restrictions","Naming restrictions"
No,No
"No attribute types configured","No attribute types configured"
"No dropdown subtypes configured","No dropdown subtypes configured"
"No entity types configured","No entity types configured"
"No more AJAX calls to add an entity/attribute. The module save is done in the same step as validation.","No more AJAX calls to add an entity/attribute. The module save is done in the same step as validation."
"No more hard coded 0.0.1 version.","No more hard coded 0.0.1 version."
"No relation types configured","No relation types configured"
Note,Note
"Now all attribute types displayed properly in the rss feed.","Now all attribute types displayed properly in the rss feed."
"Now the tree entities can be related in ""Many to many""","Now the tree entities can be related in ""Many to many"""
"Now you can create EAV entities that you can manage just like products and categories.","Now you can create EAV entities that you can manage just like products and categories."
"Now you can link you entities ""many to many"" with the catalog categories","Now you can link you entities ""many to many"" with the catalog categories"
"OK. I got it!","OK. I got it!"
"Observer for frontend","Observer for frontend"
"On the category edit page, in the tabs with flat related entities, all the entities were shown instead of only the selected ones.","On the category edit page, in the tabs with flat related entities, all the entities were shown instead of only the selected ones."
"One option on each row","One option on each row"
"Options in select","Options in select"
"Options source","Options source"
"Options tab block used for managing EAV attribute","Options tab block used for managing EAV attribute"
"Parent / child entities have a method of retrieving the associated entities (children / parent)","Parent / child entities have a method of retrieving the associated entities (children / parent)"
Path,Path
"Product attribute","Product attribute"
"Product attribute code","Product attribute code"
"Product attribute group","Product attribute group"
"Product attribute scope","Product attribute scope"
"Product helper","Product helper"
"Product list on entity page template","Product list on entity page template"
"Product relation collection resource model","Product relation collection resource model"
"Product relation resource model","Product relation resource model"
"Product/category attribute code made required","Product/category attribute code made required"
Products,Products
"REST API entity model","REST API entity model"
"REST API entity model - admin handler","REST API entity model - admin handler"
"REST API entity model - customer handler","REST API entity model - customer handler"
"REST API entity model - guest handler","REST API entity model - guest handler"
"REST API entity model - rest handler","REST API entity model - rest handler"
Refactor,Refactor
Refactored,Refactored
"Refactored JS","Refactored JS"
"Refactored some attribute codes","Refactored some attribute codes"
"Refactored widget view contents","Refactored widget view contents"
Relation,Relation
"Relation types","Relation types"
"Relations not saved when 3 or more entities exist","Relations not saved when 3 or more entities exist"
"Release notes","Release notes"
"Remove entity","Remove entity"
"Remove field / attribute","Remove field / attribute"
"Removed calls to deprecated method htmlEscape","Removed calls to deprecated method htmlEscape"
"Removed frontend package and theme fields","Removed frontend package and theme fields"
"Removed some unused variables, added some type hints. I hope I didn't break anything.","Removed some unused variables, added some type hints. I hope I didn't break anything."
"Renderer used for EAV attribute form","Renderer used for EAV attribute form"
"Replaced 'addFilter' with 'addFieldToFilter'","Replaced 'addFilter' with 'addFieldToFilter'"
Required,Required
Reset,Reset
"Resource model for entities that are related many to many","Resource model for entities that are related many to many"
"Resource model for entity category relation","Resource model for entity category relation"
"Resource model for entity product relation","Resource model for entity product relation"
"Resource model to handle entity comments","Resource model to handle entity comments"
"Resource model used for eav attributes.","Resource model used for eav attributes."
"Resource used to link comments to entities","Resource used to link comments to entities"
"Resrouce model used for the module setup","Resrouce model used for the module setup"
Resticted,Resticted
Router,Router
"Router for matching url rewrites","Router for matching url rewrites"
Save,Save
"Save and Continue Edit","Save and Continue Edit"
"Select a codepool","Select a codepool"
"Select action","Select action"
"Select menu for entity link","Select menu for entity link"
"Select the menu where you want to add the link to your entities. It may not work on very custom themes.","Select the menu where you want to add the link to your entities. It may not work on very custom themes."
"Select the product attribute scope.","Select the product attribute scope."
"Selecting to include entities in admin search had no effect.","Selecting to include entities in admin search had no effect."
"Set default values for EAV entities","Set default values for EAV entities"
"Set default values when creating a module","Set default values when creating a module"
"Set the system configuration tab name and position.","Set the system configuration tab name and position."
"Settings regarding the entity name and code","Settings regarding the entity name and code"
"Setup script with table structure","Setup script with table structure"
"Show associated categories on entity page","Show associated categories on entity page"
"Show associated entities on category page","Show associated entities on category page"
"Show associated entities on product page","Show associated entities on product page"
"Show associated product on entity page","Show associated product on entity page"
"Show in admin grid","Show in admin grid"
"Show in frontend","Show in frontend"
"Show in rss","Show in rss"
"Show in widget","Show in widget"
"Sibling relation collection resource model","Sibling relation collection resource model"
"Sibling relation resource model","Sibling relation resource model"
"Singed Int","Singed Int"
"Some texts from the locale files still displayed placeholders after generation.","Some texts from the locale files still displayed placeholders after generation."
"Source file refactoring","Source file refactoring"
"Stick to CGL","Stick to CGL"
"Store View","Store View"
"Stores tab for editing comments.","Stores tab for editing comments."
"Suport for modman file","Suport for modman file"
"Support for canonical URL in generated module","Support for canonical URL in generated module"
"Support for signed int attributes/fields","Support for signed int attributes/fields"
"Support for url rewrites for entity list pages","Support for url rewrites for entity list pages"
"Supported field / attribute types","Supported field / attribute types"
"System -> Configuration tab name","System -> Configuration tab name"
"System -> Configuration tab position","System -> Configuration tab position"
"System xml","System xml"
"Tabs block used for managing EAV attribute","Tabs block used for managing EAV attribute"
"Tabs for editing comments.","Tabs for editing comments."
"Template for listing entities on category view page","Template for listing entities on category view page"
"Template for listing entities on product view page","Template for listing entities on product view page"
"Template for rendering customer comments","Template for rendering customer comments"
"Template used for adding comments","Template used for adding comments"
"Template used for displaying comments","Template used for displaying comments"
"Template used for entity widget link","Template used for entity widget link"
"Template used for entity widget subtree","Template used for entity widget subtree"
"Template used for entity widget view","Template used for entity widget view"
"Template used for listing categories on entity page","Template used for listing categories on entity page"
"Template used for listing entity siblings","Template used for listing entity siblings"
"Template used for listing products on entity page","Template used for listing products on entity page"
"Template used for viewing own comment","Template used for viewing own comment"
"Template used in the backend for editing the tree for tree behaving entities","Template used in the backend for editing the tree for tree behaving entities"
"Template used in the backend for editing the tree form for tree behaving entities","Template used in the backend for editing the tree form for tree behaving entities"
"Template used in the backend for the tree for tree behaving entities","Template used in the backend for the tree for tree behaving entities"
"Template used to display child related entities","Template used to display child related entities"
"Template used to display the entity children on frontend for tree behaving entities","Template used to display the entity children on frontend for tree behaving entities"
"Template used to list the entities on frontend","Template used to list the entities on frontend"
"Template used to view an entity on frontend","Template used to view an entity on frontend"
"Temporarily disable API","Temporarily disable API"
Text,Text
Textarea,Textarea
"Thank you for your help","Thank you for your help"
Thanks,Thanks
"The API does not yet work for EAV entities and comments. It is temporarily disabled until I get it working.","The API does not yet work for EAV entities and comments. It is temporarily disabled until I get it working."
"The Magento admin Global search (at the top of every admin page) searches for the text you enter in products, customers and orders.<br />If you set this to 'Yes' than it will search in your entity also.","The Magento admin Global search (at the top of every admin page) searches for the text you enter in products, customers and orders.<br />If you set this to 'Yes' than it will search in your entity also."
"The UI of the module creator now uses prototype classes instead of simple JS functions.","The UI of the module creator now uses prototype classes instead of simple JS functions."
"The UMC UI has pulsating and sliding effects on different operations.","The UMC UI has pulsating and sliding effects on different operations."
"The admin grids for each entity comments include the entity name.","The admin grids for each entity comments include the entity name."
"The admin handler model for the entity REST API","The admin handler model for the entity REST API"
"The collection resource model for an entity","The collection resource model for an entity"
"The configuration for the REST API","The configuration for the REST API"
"The configuration panel for tree entities was incomplete","The configuration panel for tree entities was incomplete"
"The customer handler model for the entity REST API","The customer handler model for the entity REST API"
"The date fields were saved as 1970-01-01 for some locale settings (French for example)","The date fields were saved as 1970-01-01 for some locale settings (French for example)"
"The display mode of tree entities was not manageable from the system configuration section.","The display mode of tree entities was not manageable from the system configuration section."
"The entities are in a many to many relation. A new table will be created to support this relation containing the ids of each entity.","The entities are in a many to many relation. A new table will be created to support this relation containing the ids of each entity."
"The entities are not related in any way.","The entities are not related in any way."
"The entities created with UMC will have a field called 'created_at' with the creation date of any entity instance.<br />If this is set to 'Yes' the 'Created at' field will be added to the admin grid.","The entities created with UMC will have a field called 'created_at' with the creation date of any entity instance.<br />If this is set to 'Yes' the 'Created at' field will be added to the admin grid."
"The entities created with UMC will have a field called 'updated_at' with the last update date of any entity instance.<br />If this is set to 'Yes' the 'Updated at' field will be added to the admin grid.","The entities created with UMC will have a field called 'updated_at' with the last update date of any entity instance.<br />If this is set to 'Yes' the 'Updated at' field will be added to the admin grid."
"The entities relations were not displayed correctly when the module contained 3 or more entities. <a href=""https://github.com/tzyganu/UMC1.9/issues/5"" target=""_blank"">(#5)</a>","The entities relations were not displayed correctly when the module contained 3 or more entities. <a href=""https://github.com/tzyganu/UMC1.9/issues/5"" target=""_blank"">(#5)</a>"
"The entity model. Simple as that.","The entity model. Simple as that."
"The entity view page displayed as blank if looking at an entity that does not exist. Now redirects to 404 page.","The entity view page displayed as blank if looking at an entity that does not exist. Now redirects to 404 page."
"The first entity acts as a child for the second one <br />. A field will be added to the first entity table as a reference to the first entity.","The first entity acts as a child for the second one <br />. A field will be added to the first entity table as a reference to the first entity."
"The first entity acts as a parent for the second one <br />. A field will be added to the second entity table as a reference to the first entity.","The first entity acts as a parent for the second one <br />. A field will be added to the second entity table as a reference to the first entity."
"The generated extensions can contain files used for the SOAP API.","The generated extensions can contain files used for the SOAP API."
"The generated files could not pe written to disk because of the changes in Varien_Io_File in this version.","The generated files could not pe written to disk because of the changes in Varien_Io_File in this version."
"The guest handler model for the entity REST API","The guest handler model for the entity REST API"
"The image attributes/fields were displayed wrong on frontend for EAV entities.","The image attributes/fields were displayed wrong on frontend for EAV entities."
"The left side tree on the admin add/edit form for EAV tree entities does not refresh when a new entity instance is added.","The left side tree on the admin add/edit form for EAV tree entities does not refresh when a new entity instance is added."
"The main handler model for the entity REST API","The main handler model for the entity REST API"
"The main model for the entity REST API","The main model for the entity REST API"
"The module configuration file","The module configuration file"
"The module declaration file.","The module declaration file."
"The name of the attribute group where the attribute will be added. If you leave it empty the attribute will not be added to the attribute sets. If the group does not exist it will be created.","The name of the attribute group where the attribute will be added. If you leave it empty the attribute will not be added to the attribute sets. If the group does not exist it will be created."
"The name of the attribute group where the attribute will be added. If you leave it empty the attribute will not be added to the category attribute set. If the group does not exist it will be created.","The name of the attribute group where the attribute will be added. If you leave it empty the attribute will not be added to the category attribute set. If the group does not exist it will be created."
"The placeholder image for entities with image attributes.","The placeholder image for entities with image attributes."
"The related entities tab did not show only selected entities on category edit mode.","The related entities tab did not show only selected entities on category edit mode."
"The relation tables between entities and products or categories or other entities now have a unique index on the entity id and the related entity id.","The relation tables between entities and products or categories or other entities now have a unique index on the entity id and the related entity id."
"The resource model for an entity","The resource model for an entity"
"The route of the module can be configured. (<a href=""https://github.com/tzyganu/UMC1.9/issues/4"" target=""_blank"">#4</a>)","The route of the module can be configured. (<a href=""https://github.com/tzyganu/UMC1.9/issues/4"" target=""_blank"">#4</a>)"
"The sibling relations are not recreated completely anymore. They are merged.","The sibling relations are not recreated completely anymore. They are merged."
"The template for listing RSS links.","The template for listing RSS links."
"The text you put here will be added at the top of (almost) each file in the module you create.<br />Use {{Namespace}} as a placeholder for namespace, {{Module}} as a placeholder for the module name and {{Y}} as placeholder for current year.<br />If you don't want any License text on your files just leave this field empty.","The text you put here will be added at the top of (almost) each file in the module you create.<br />Use {{Namespace}} as a placeholder for namespace, {{Module}} as a placeholder for the module name and {{Y}} as placeholder for current year.<br />If you don't want any License text on your files just leave this field empty."
"The uninstall script tried to remove the module_eav_attribute table once for each EAV entity.","The uninstall script tried to remove the module_eav_attribute table once for each EAV entity."
"The values for manually added attributes for EAV entities were not saved due to the attributes not belonging to a group.","The values for manually added attributes for EAV entities were not saved due to the attributes not belonging to a group."
"There are 2 types of entities in Magento <a href=""http://en.wikipedia.org/wiki/Entity%E2%80%93attribute%E2%80%93value_model"" target=""_blank"">EAV</a> and Flat (all fields in one table). Choose yours","There are 2 types of entities in Magento <a href=""http://en.wikipedia.org/wiki/Entity%E2%80%93attribute%E2%80%93value_model"" target=""_blank"">EAV</a> and Flat (all fields in one table). Choose yours"
"There is a new section in the customer account menu that links to ""my comments"" for each entity.","There is a new section in the customer account menu that links to ""my comments"" for each entity."
"This allows you to directly install the module you create on the current Magento instance, or create a zip with it and install it later.","This allows you to directly install the module you create on the current Magento instance, or create a zip with it and install it later."
"This allows you to display the attribute as a column in the admin grid of the entity. The attribute set to behave as ""Name"" will be included by default in the grid.","This allows you to display the attribute as a column in the admin grid of the entity. The attribute set to behave as ""Name"" will be included by default in the grid."
"This allows you to show the attribute in rss feed. Is available for all attribute types.","This allows you to show the attribute in rss feed. Is available for all attribute types."
"This allows you to show the attribute in the entity view page. Is available for all attribute types.","This allows you to show the attribute in the entity view page. Is available for all attribute types."
"This allows you to show the attribute in view widget. Is available for all attribute types.","This allows you to show the attribute in view widget. Is available for all attribute types."
